Buchungsnummer;Kennzeichen;S_Id;Stationsname;Fahrzeugsteller;Abrechnungsmonat;Buchungsstatus;Buchungsbeginn;Buchungsende;Fahrtbeginn;Fahrtende;Stornierung;Buchungsdauer_std;Fahrtdauer_std;KM;Tarif;Nutzungskategorie;PC_Id;Preiskomponente;Zahlungsstatus;Zeitkosten;Zeitkosten_nach_Guthaben;KM_Kosten;KM_Kosten_nach_Guthaben;Buchungsgebuehr;Spaetrueckgabegebuehr;Fahrtkosten;Fahrtkosten_nach_Guthaben
R000473;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-03;finished;17.03.2025 15:15;17.03.2025 17:30;17.03.2025 15:13;17.03.2025 17:32;;2,25;2,32;31.0;Basis-Tarif ;Privatkunden;2;CARL;Bezahlt;5,83;5,83;5,89;5,89;2,5;0;14,22;2,61
R000493;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-03;finished;12.03.2025 17:00;12.03.2025 23:00;12.03.2025 16:51;12.03.2025 22:08;;6;5,27;38.0;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;Bezahlt;14,08;14,08;7,22;7,22;2,5;0;23,8;13,8
R000508;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-03;cancelled;16.03.2025 14:00;16.03.2025 15:00;;;16.03.2025 11:06;1;;;Basis-Tarif ;Privatkunden;2;CARL;Bezahlt;1;1;0;0;2,5;0;3,5;0
R000532;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-03;expired;26.03.2025 04:00;27.03.2025 23:00;;;;43;;;Kommunal-Tarif Servicefahrten;Fahrzeugbetreuung;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000548;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-03;finished;25.03.2025 10:15;25.03.2025 11:15;25.03.2025 10:08;25.03.2025 10:52;;1;0,72;18.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000552;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-03;finished;25.03.2025 13:30;25.03.2025 14:45;25.03.2025 13:33;25.03.2025 13:43;;1,25;0,17;0.0;Kommunal-Tarif Servicefahrten;Fahrzeugbetreuung;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000005;R-MA 45;10;Pettendorf;Pettendorf / C109;2025-01;cancelled;20.01.2025 11:45;20.01.2025 12:45;;;09.01.2025 12:50;1;;;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000099;R-MA 45;10;Pettendorf;Pettendorf / C109;2025-01;finished;23.01.2025 10:30;23.01.2025 21:15;23.01.2025 10:29;23.01.2025 20:54;;10,75;10,4;49.0;Basis-Tarif ;Privatkunden;2;CARL;Bezahlt;26,33;26,33;9,31;9,31;2,5;0;38,14;38,14
R000412;R-MA 45;10;Pettendorf;Pettendorf / C109;2025-03;finished;24.03.2025 07:00;26.03.2025 18:00;24.03.2025 15:11;25.03.2025 17:41;;59;26,48;29.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000562;R-MA 45;10;Pettendorf;Pettendorf / C109;2025-03;finished;25.03.2025 17:45;26.03.2025 18:00;25.03.2025 17:42;26.03.2025 14:06;;24,25;20,38;44.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
