Stationsname,Jahr,Monat,JahrMonat,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben
Lappersdorf,2025,9,2025-09,19,68.78999999999999,1079.0,475.24,450.24
Lappersdorf,2025,10,2025-10,20,74.01,1077.0,478.21999999999997,458.21999999999997
Lappersdorf,2025,11,2025-11,26,131.28,1413.0,636.37,606.37
Lappersdorf,2025,12,2025-12,20,67.42999999999999,786.0,373.40999999999997,363.40999999999997
Lappersdorf,2026,1,2026-01,16,76.0,755.0,384.34,374.34
Lappersdorf,2026,2,2026-02,21,135.49,733.0,511.45,483.64
Lappersdorf,2026,3,2026-03,40,94.1,1580.0,922.22,446.86
Lappersdorf,2026,4,2026-04,20,0.0,1484.0,564.56,0.0
Lappersdorf,2026,5,2026-05,14,0.0,948.0,682.5500000000001,0.0
Lappersdorf,2026,6,2026-06,12,0.0,547.0,0.0,0.0
Neutraubling,2025,1,2025-01,10,79.06,474.0,301.53,150.46
Neutraubling,2025,2,2025-02,18,148.04999999999998,819.0,542.58,404.75
Neutraubling,2025,3,2025-03,22,184.56,1511.0,790.27,651.06
Neutraubling,2025,4,2025-04,15,163.68,1406.0,738.45,648.74
Neutraubling,2025,5,2025-05,20,220.96,1448.0,847.42,787.42
Neutraubling,2025,6,2025-06,18,205.96,775.0,590.47,580.47
Neutraubling,2025,7,2025-07,19,91.95,1106.0,477.95,441.05
Neutraubling,2025,8,2025-08,22,85.24,964.0,470.64,450.64
Neutraubling,2025,9,2025-09,23,151.04,1335.0,643.3100000000001,613.83
Neutraubling,2025,10,2025-10,18,61.13,733.0,345.24,325.24
Neutraubling,2025,11,2025-11,13,51.43,450.0,256.6,246.6
Neutraubling,2025,12,2025-12,21,88.42,1294.0,558.24,548.24
Neutraubling,2026,1,2026-01,18,158.66,941.0,566.68,542.78
Neutraubling,2026,2,2026-02,15,60.17,703.0,334.49,314.49
Neutraubling,2026,3,2026-03,28,110.66999999999999,982.0,698.38,339.19
Neutraubling,2026,4,2026-04,18,0.0,971.0,397.97,0.0
Neutraubling,2026,5,2026-05,20,0.0,2186.0,758.12,0.0
Neutraubling,2026,6,2026-06,15,0.0,1148.0,0.0,0.0
Nittendorf,2025,1,2025-01,19,168.06,2102.0,882.12,817.12
Nittendorf,2025,2,2025-02,24,178.35,1886.0,883.49,796.72
Nittendorf,2025,3,2025-03,17,107.8,1158.0,561.54,511.53999999999996
Nittendorf,2025,4,2025-04,7,46.7,629.0,269.17,219.17
Nittendorf,2025,5,2025-05,9,126.63000000000001,1545.0,650.39,620.39
Nittendorf,2025,6,2025-06,12,75.11,882.0,392.78999999999996,352.78999999999996
Nittendorf,2025,7,2025-07,13,204.99,2106.0,748.36,728.36
Nittendorf,2025,8,2025-08,7,139.98000000000002,979.0,486.51,476.51
Nittendorf,2025,9,2025-09,1,3.7,67.0,24.65,24.65
Nittendorf,2025,10,2025-10,1,49.53,886.0,252.76,252.76
Nittendorf,2025,11,2025-11,8,88.52,1353.0,464.05,454.05
Nittendorf,2025,12,2025-12,4,43.9,229.0,148.09,148.09
Nittendorf,2026,2,2026-02,4,23.009999999999998,393.0,124.99000000000001,124.99000000000001
Nittendorf,2026,3,2026-03,4,13.68,616.0,200.92000000000002,90.46000000000001
Nittendorf,2026,4,2026-04,8,0.0,575.0,307.08000000000004,0.0
Nittendorf,2026,5,2026-05,6,0.0,301.0,190.65,0.0
Pentling,2025,1,2025-01,11,43.83,374.0,240.20000000000002,100.82
Pentling,2025,2,2025-02,16,88.88,1171.0,500.91,372.83
Pentling,2025,3,2025-03,11,34.33,443.0,228.42,179.03
Pentling,2025,4,2025-04,16,117.03,1727.0,742.37,672.16
Pentling,2025,5,2025-05,10,36.22,542.0,230.26000000000002,170.26
Pentling,2025,6,2025-06,17,87.91,903.0,424.35,374.59
Pentling,2025,7,2025-07,18,190.98,1536.0,758.35,668.35
Pentling,2025,8,2025-08,20,135.24,1279.0,596.28,566.28
Pentling,2025,9,2025-09,12,47.6,942.0,351.67999999999995,326.67999999999995
Pentling,2025,10,2025-10,26,82.83,1330.0,591.2,556.2
Pentling,2025,11,2025-11,18,109.11,1449.0,586.46,491.57
Pentling,2025,12,2025-12,21,92.83,1319.0,575.73,535.73
Pentling,2026,1,2026-01,21,66.15,1084.0,450.77,401.15
Pentling,2026,2,2026-02,4,16.55,311.0,121.16,111.16
Pentling,2026,3,2026-03,0,0.0,0.0,0.0,0.0
Pentling,2026,4,2026-04,0,0.0,0.0,0.0,0.0
